,Place,Firstname,Lastname,Gender,Solo or Duo,Status,StartDate,Checkpoint_1,Checkpoint_2,Checkpoint_3,Checkpoint_4,Checkpoint_5,Checkpoint_6,Checkpoint_7,Checkpoint_8,Checkpoint_9,Checkpoint_fin
193,53,Rainer,Dobrinkat,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 08:25:00,2020-08-30 15:34:00,2020-08-31 12:10:00,2020-08-31 21:59:00,2020-09-01 18:15:00,2020-09-02 00:15:00,2020-09-03 02:30:00,2020-09-03 17:57:00,2020-09-04 21:12:00
194,54,Emmanuel,Kempeneers,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:58:00,2020-08-30 10:24:00,2020-08-30 14:03:00,2020-08-31 00:31:00,2020-08-31 14:29:00,2020-09-01 12:15:00,2020-09-01 16:45:00,2020-09-02 19:40:00,2020-09-03 13:27:00,2020-09-04 02:35:00
195,55,Eddie,Kouiss,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:38:00,2020-08-30 07:54:00,2020-08-30 11:34:00,2020-08-30 20:02:00,2020-08-31 12:30:00,2020-09-01 05:57:00,2020-09-01 11:06:00,2020-09-02 01:18:00,2020-09-02 14:56:00,2020-09-03 01:24:00
196,56,Bernd,Paul,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-29 23:39:00,2020-08-30 02:49:00,2020-08-30 10:07:00,2020-08-30 17:16:00,2020-08-31 07:33:00,2020-08-31 11:43:00,2020-09-01 06:40:00,2020-09-01 15:48:00,2020-09-02 03:25:00
197,57,Daan,Marsmans,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 12:34:00,2020-08-29 21:42:00,2020-08-30 00:21:00,2020-08-30 10:59:00,2020-08-30 16:49:00,2020-08-31 07:27:00,2020-08-31 10:35:00,2020-08-31 21:45:00,2020-09-01 05:52:00,2020-09-01 17:30:00
198,58,Patrick,Bruns,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 15:06:00,2020-08-30 15:21:00,2020-08-30 19:11:00,2020-08-31 13:34:00,2020-09-01 08:51:00,2020-09-01 21:29:00,2020-09-02 11:26:00,2020-09-03 12:03:00,2020-09-04 06:39:00,2020-09-04 19:57:00
199,59,Bob,Mesman,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:28:00,2020-08-30 11:34:00,2020-08-30 15:43:00,2020-08-31 13:59:00,2020-09-01 09:16:00,2020-09-02 08:52:00,2020-09-02 12:51:00,2020-09-03 13:47:00,2020-09-04 13:17:00,2020-09-05 15:59:00
200,60,Meindert,Commelin,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:50:00,2020-08-30 06:51:00,2020-08-30 09:43:00,2020-08-30 17:32:00,2020-08-31 07:20:00,empty,2020-09-01 05:45:00,2020-09-01 19:33:00,2020-09-02 08:11:00,2020-09-02 19:29:00
201,999,Eline,van Straalen,female,Solo,DNF,2020-08-29 08:00:00,2020-08-29 15:37:00,2020-08-30 13:32:00,2020-08-30 18:11:00,2020-08-31 15:47:00,empty,empty,empty,empty,empty,empty
202,999,Freddy,Hoogheem,male,Solo,DNF,2020-08-29 08:00:00,2020-08-29 15:08:00,empty,empty,empty,empty,empty,empty,empty,empty,empty
203,999,Paul,Berkhout,male,Solo,DNF,2020-08-29 08:00:00,2020-08-29 14:32:00,2020-08-30 14:54:00,2020-08-30 20:53:00,2020-08-31 20:09:00,2020-09-01 18:49:00,2020-09-02 21:05:00,2020-09-03 08:53:00,empty,empty,empty
204,999,Lindsay,Mccrae,male,Solo,DNF,2020-08-29 08:00:00,empty,2020-08-29 23:51:00,2020-08-30 02:50:00,2020-08-30 09:59:00,2020-08-30 18:37:00,2020-08-31 11:05:00,2020-08-31 15:24:00,2020-09-01 11:39:00,empty,2020-09-01 17:59:00
205,999,Berten,De Meyer,male,Solo,DNF,2020-08-29 08:00:00,empty,2020-08-30 00:12:00,empty,2020-08-30 14:18:00,2020-08-30 20:37:00,2020-08-31 15:23:00,2020-08-31 19:39:00,empty,empty,empty
206,999,Bram,Jordens,male,Solo,DNF,2020-08-29 08:00:00,2020-08-29 14:40:00,2020-08-30 12:36:00,2020-08-30 16:36:00,2020-08-31 13:32:00,2020-09-01 15:08:00,empty,empty,empty,empty,empty
207,999,Arjan,Kraaijeveld,male,Solo,DNF,2020-08-29 08:00:00,empty,2020-08-30 09:34:00,2020-08-30 13:24:00,2020-08-30 22:52:00,2020-08-31 14:09:00,empty,empty,empty,empty,empty
208,999,Marlow,Drevel,male,Solo,DNF,2020-08-29 08:00:00,2020-08-29 14:26:00,2020-08-30 07:33:00,2020-08-30 20:12:00,2020-08-31 07:29:00,2020-08-31 20:46:00,empty,empty,empty,empty,empty
209,999,Bernd,Rosing,male,Solo,DNF,2020-08-29 08:00:00,2020-08-29 13:17:00,2020-08-30 00:57:00,2020-08-30 09:46:00,2020-08-30 17:32:00,2020-08-31 09:59:00,empty,empty,empty,empty,empty
210,999,Dimi,Diels,male,Solo,DNF,2020-08-29 08:00:00,2020-08-29 13:50:00,2020-08-30 13:21:00,2020-08-30 17:14:00,2020-08-31 12:30:00,empty,empty,empty,empty,empty,empty
211,999,Christoph,Kamps,male,Solo,DNF,2020-08-29 08:00:00,2020-08-29 15:16:00,2020-08-30 08:24:00,2020-08-30 15:32:00,2020-08-31 14:44:00,empty,empty,empty,empty,empty,empty
212,999,Julio,Greff de Oliveira,male,Solo,DNF,2020-08-29 08:00:00,2020-08-29 13:21:00,2020-08-30 12:01:00,2020-08-30 15:17:00,empty,empty,empty,empty,empty,empty,empty
213,999,Martin,Dressel,male,Solo,DNF,2020-08-29 08:00:00,2020-08-29 14:41:00,2020-08-30 18:06:00,2020-08-30 22:06:00,empty,empty,empty,empty,empty,empty,empty
214,999,Dieter,Schietse,male,Solo,DNF,2020-08-29 08:00:00,2020-08-29 13:02:00,2020-08-30 00:40:00,2020-08-30 03:40:00,empty,empty,empty,empty,empty,empty,empty
215,999,Simon,Daubert,male,Solo,DNF,2020-08-29 08:00:00,2020-08-29 15:08:00,2020-08-31 09:25:00,empty,empty,empty,empty,empty,empty,empty,empty
216,999,Suvi,Tohola,female,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
217,999,Scott,Coonce,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
218,999,Bart,Vrancken,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
219,999,Karel,Poets,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
220,999,Robin,Hogger,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
221,999,Tom,Smets,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
222,999,Florent,Mabon,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
223,999,Bjorn,Iffert,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
224,999,Kevin,King,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
225,999,Colin,Fury,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
226,999,Davide,Zuin,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
227,999,Joachim,Ottow,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
228,999,Mark,Paliwoda,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
229,999,Vas,Evtushenko,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
230,999,Szymon,Biczak,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
231,999,Servee,Derks,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
232,999,Andy,Tibbett,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
233,999,Stefano,Graziadei,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
234,999,Jake,Potter,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
235,999,James,O'Neill,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
236,999,James,Stockman,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
237,999,Matt,Seward,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
238,1,unknown,Frans-Frans,male,Duo,Finisher,2020-08-29 08:00:00,2020-08-29 13:09:00,2020-08-30 02:08:00,2020-08-30 08:56:00,2020-08-30 18:55:00,2020-08-31 10:12:00,2020-09-01 00:49:00,2020-09-01 08:27:00,2020-09-02 06:05:00,2020-09-02 15:12:00,2020-09-03 01:30:00
239,2,unknown,Mulders-Croonen,male,Duo,Finisher,2020-08-29 08:00:00,2020-08-29 13:52:00,2020-08-30 12:17:00,2020-08-30 16:26:00,2020-08-31 10:53:00,empty,2020-09-01 15:19:00,2020-09-01 19:29:00,2020-09-02 18:55:00,2020-09-03 15:21:00,2020-09-04 12:48:00
240,3,unknown,Leitner-Finger,male,Duo,Finisher,2020-08-29 08:00:00,2020-08-29 13:20:00,2020-08-30 07:38:00,2020-08-30 11:59:00,2020-08-30 20:49:00,2020-08-31 14:34:00,2020-09-01 11:11:00,2020-09-01 15:50:00,2020-09-02 13:38:00,2020-09-03 11:22:00,2020-09-04 00:00:00
241,999,unknown,Casier-Vanbillemont,male,Duo,DNF,2020-08-29 08:00:00,2020-08-29 15:24:00,empty,2020-08-31 10:06:00,2020-09-01 09:02:00,empty,empty,empty,empty,empty,empty
242,999,unknown,Krämer-Reindl,male,Duo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
